"#","row_id","title","your_label"
"01","6861","Would never do again","NEGATIVE"
"02","12089","did not arrive when scheduled","NEUTRAL"
"03","13862","who cannot love Starbucks.","NEGATIVE"
"04","14813","Cute Presentation","POSITIVE"
"05","21535","Changing the price to what I wanted, disappointed","NEGATIVE"
"06","34680","Bad Experience","NEGATIVE"
"07","34953","the gift cards came nicely packaged.","NEUTRAL"
"08","36779","Three Stars","NEUTRAL"
"09","46294","Nothing special","NEGATIVE"
"10","46713","works but could be simpler","NEUTRAL"
"11","47258","It should be Clearer and Easier to Give money to Amazon","NEGATIVE"
"12","48687","Three Stars","NEUTRAL"
"13","50542","Needs more","UNSURE"
"14","53097","Card","NEUTRAL"
"15","57971","The tab covering the barcode was missing","NEUTRAL"
"16","58022","Don't trust the shipping","NEUTRAL"
"17","58514","It's a gift card","UNSURE"
"18","60465","Hold out until pandemic in the past to eat here.","UNSURE"
"19","67519","Card did not work....very upset","NEGATIVE"
"20","67604","giftcard","NEUTRAL"
"21","69834","Do we really get a 2% back???","NEUTRAL"
"22","76561","Nice","POSITIVE"
"23","78253","Arrived quickly (the next day) but I gave it 3 ...","NEUTRAL"
"24","79199","The envelope is ripped","NEGATIVE"
"25","81064","Too much for purchase","UNSURE"
"26","81132","Three Stars","NEUTRAL"
"27","84207","Fairly Nice","NEUTRAL"
"28","85151","No where to write the Gift Card Value","NEUTRAL"
"29","94939","Would be 5 stars without activation fee","NEUTRAL"
"30","97001","It's ok","NEUTRAL"
"31","103693","Three Stars","UNSURE"
"32","109710","they will purchase good tacos. The gift cards are very plain","POSITIVE"
"33","114095","wrong house","NEGATIVE"
"34","115861","Different card Received then pictured!","NEUTRAL"
"35","122616","Good bonus, but","NEUTRAL"
"36","127219","Item arrived crushed","NEGATIVE"
"37","127340","Food Stains?","NEGATIVE"
"38","128050","Paper gift card gets stuck in box","UNSURE"
"39","128507","Nice presentation for a gift card except for the fact ...","NEUTRAL"
"40","129304","No amount on card and directions are inaccurate!","NEGATIVE"
"41","130398","Three Stars","NEUTRAL"
"42","133381","Box was damaged upon arrival","NEUTRAL"
"43","135262","Found both website and app difficult follow,","NEGATIVE"
"44","135399","GREAT","POSITIVE"
"45","136077","don’t reload huge amounts","NEUTRAL"
"46","138157","Amazon Gift Card","NEUTRAL"
"47","140378","Tricky Checkout","NEUTRAL"
"48","142060","Three Stars","NEGATIVE"
"49","147871","When it works","NEUTRAL"
"50","149140","I wrote a message to show who it was from ...","NEGATIVE"
