row,rating,true_label,pred_label,emotion,correct,title,text
4850,1.0,NEGATIVE,NEGATIVE,anger,True,Damaged Box,Bought this Amazon gift card with a black box. The box came damaged and was not usable.
16770,1.0,NEGATIVE,NEGATIVE,anger,True,Would use this but NOT with CHASE Bank.,I have had a Amazon/Chase Credit Card for years. The Chase Credit Card people are great! So to take advantage of this offer I opened a Checking Account at my Local Chase Branch and deposited 4 checks 
21929,1.0,NEGATIVE,NEGATIVE,sadness,True,Dissatisfied with the results.,"The gift card is beautiful. However, the gift card was sent to not only a wrong address, but wrong state. When I inquired about it, I was told they were sorry for the inconvenience, but cannot reimbur"
30424,1.0,NEGATIVE,NEGATIVE,anger,True,Defective card,Card did not work. Called and hot automated and after 3 attempts it said it was good to go. Nope. Two grocery stores declined card
35722,1.0,NEGATIVE,NEGATIVE,anger,True,No card,I wrote a card to go with the gift card and the person got the gift card and had no idea who it was from
37035,1.0,NEGATIVE,NEGATIVE,sadness,True,Why refund is not avalible,Cannot ask for a refund .Sad
44246,1.0,NEGATIVE,NEGATIVE,anger,True,terrible desicion,nothing to review
44675,1.0,NEGATIVE,NEGATIVE,anger,True,Not happy,Reloaded wrong balance because it didn’t confirm for me to check.
45736,1.0,NEGATIVE,NEGATIVE,anger,True,DOES NOT WORK.  Don't buy,DO NOT buy these. I gave two as gifts and neither worked. This company does not no accept returns..contact amazon !  I would not recommend this product!!  There is nothing to activate on your end..the
48431,1.0,NEGATIVE,NEGATIVE,anger,True,Not sure whats going on here!,I bought these 2 gift cards under the buy $50 worth of gift cards and receive a $15 credit. I have not seen the $15 dollar credit and now it says I'm not eligible with NO reason! Someone please explai
50375,2.0,NEGATIVE,NEGATIVE,fear,True,Confusing.,Had to take it out of a different account. Kinda confusing.
63931,1.0,NEGATIVE,NEGATIVE,anger,True,Very embarrassed and dissatisfied with this product!,I purchased this card for my Mother's 80th Birthday present. She attempted to use it to purchase an electric skillet for Amazon but it kept coming up as declined when she used it to pay for the skille
70183,1.0,NEGATIVE,NEGATIVE,anger,True,Its a scam,Rec'd this as a gift. Purchaser was told it is accepted at restaurants in our area....closest restaurant is about 60 miles away and most of the restaurants had poor reviews......does not deserve any s
71550,1.0,NEGATIVE,NEGATIVE,anger,True,Bonus on reload,"I’m 100% sure Amazon will not print my honest review!!  This reload gift card for $10.00 bonus credit is deceiving, false, and a BIG LIE!!!  I’m a sucker but no more.  Buyers beware and read the fine "
74269,1.0,NEGATIVE,NEGATIVE,anger,True,you messed up,"you neglected to send the box, and birthday card showing who it was from. Shame on you"
74627,1.0,NEGATIVE,NEGATIVE,anger,True,This card sucks,Do not buy it it's too hard to activate very useless!!!!!!!!!!!
75023,1.0,NEGATIVE,NEGATIVE,anger,True,Problem,I used the reload a lot. My grandchildren chunked the card in the trash. Now Amazon is asking me to re-type my whole credit card number to re-load but I can't
90536,1.0,NEGATIVE,NEGATIVE,anger,True,Damaged box.,"I bought three gift cards in nice, cute boxes. This one came in terrible shape. It wasn't any fault of shipping, they all came together but this was the only ruined one. They won't replace or refund s"
93165,1.0,NEGATIVE,NEGATIVE,anger,True,Buyer beware!,Stay away from these gift cards.<br />I purchased these for Christmas gift and they didn’t work.<br /><br />I tried to apply them to my kids account and when entered we got a “invalid code warning”<br
93671,1.0,NEGATIVE,NEGATIVE,anger,True,STOLEN! By Amazon Driver??,"Well I am glad that Amazon has refunded the money and sent out a new card!!  However, the lady at Amazon refused to take any type of steps to cancel the card?? Or to investigate, not sure if Amazon ha"
95149,2.0,NEGATIVE,NEGATIVE,sadness,True,Thought it was for a gift card :(,Confusing
99713,1.0,NEGATIVE,NEUTRAL,trust,False,Thanks,This didnt work out how i tried but was refunded
100690,1.0,NEGATIVE,NEGATIVE,anger,True,One Star,I was supposed to receive a $15 promotion for buying this card and never did!!  I feel cheated!
106226,1.0,NEGATIVE,NEGATIVE,anger,True,Quick delivery of AMC card. DOES NOT ACCEPT AMAZON POINTS,"I ordered a $50 amc card and it was delivered within a week. Looking at so many negative comments, I promptly checked  the balance and found $50 value balance in the card. My experience is really good"
107635,1.0,NEGATIVE,NEGATIVE,anger,True,Wasted $50,card came with the activation code ripped which rendered the card unusable.  wasted $50 as Lyft does not have a customer service phone number.
110554,1.0,NEGATIVE,NEGATIVE,anger,True,You delivered a gift card which is like cash to the wrong address.,"Gift cards are like cash and should be treated like cash so when you give it to someone that wasn't supposed to get it, it might be hard to track down the next day. So you should deliver the gift card"
111351,1.0,NEGATIVE,NEGATIVE,anger,True,Something's not quite right.,"My apologies, I was quite p/o-ed it took 4 (four) days, plus, to delivere such a large item as a car<br />. Missing my son's big 50 birthday, which I could not attend. Perhaps, l Prime has loop holes "
113487,1.0,NEGATIVE,NEGATIVE,anger,True,Important catch Spotify doesn't mention,This is not giftable to anyone who has additional services bundled with Spotify like hulu. To use this card you must have *only* Spotify. This means of you already have a bundle your are forced to get
114979,1.0,NEGATIVE,NEGATIVE,anger,True,Old way was better,"Why did this change? The old way, I could add gift cards that had only a few dollars left on them fairly easy, without adding the card to my account first. This is a huge hassle now, and it does NOT t"
115265,1.0,NEGATIVE,NEGATIVE,anger,True,No longer taken at Pei Wei,"Since Pei Wei and PF Changs separated businesses in early 2019, these cards are no longer accepted at Pei Wei, even though the cards say they are.  Would have been good to know before I wasted the mon"
117626,1.0,NEGATIVE,NEGATIVE,anger,True,GE Amazon card is CROOKED,Worse possible outfit.  They could not get my bank routing in their system correctly causing returned payments.  DUH  I put in the right numbers but they processed it wrong or something and then immed
119101,1.0,NEGATIVE,NEGATIVE,anger,True,instruction do not match invoice,instructions state to match serial number code to purchase to see amount but in the invoice description there is no number to match it to.
122456,1.0,NEGATIVE,NEGATIVE,anger,True,Amazon gift card,"I have just spent an hour of my precious time trying to place my gift card on my account!! It use to be so easy, even for an old lady like me, but you’ve changed the format and I never got to where I "
122572,2.0,NEGATIVE,NEGATIVE,anger,True,Why change the behavior without notifying?,"It's unfortunate that everytime Amazon changes this app, it seems to go the wrong way. I now have a very slow app, and for some reason the balance reload changed to pick my default buying card. It use"
123634,1.0,NEGATIVE,NEGATIVE,anger,True,Where's My Money!?!,"I bought gift cards for my family for Christmas. They were sent to me with being activated, even though I was charged for the activation. Now my family is trying to use them and they're worthless. I/w"
123694,1.0,NEGATIVE,NEGATIVE,anger,True,Gift Box Dented / No Gift Message Included,"Person I sent it to received a one hundred fifty dollar gift card inside the extremely dented gift box inside a manila envelope.  The gift box was dented right down the center, from top to bottom.  Gi"
127893,2.0,NEGATIVE,NEGATIVE,sadness,True,I made a selection error but tried to change it ...,"I made a selection error but tried to change it but unable to, so I was not able to take advantage of the offer."
129905,2.0,NEGATIVE,NEGATIVE,sadness,True,Two Stars,"I don’t even see it anymore, I don’t know if you have to be a member or not."
134522,1.0,NEGATIVE,NEGATIVE,anger,True,Buy visa instead,Can’t use it anywhere it comes up declined even after registering in the card
134529,1.0,NEGATIVE,NEGATIVE,anger,True,I got visa gift card i cant use it,I got gift card visa i cant use it
134567,1.0,NEGATIVE,NEGATIVE,anger,True,I got visa gift card i cant use it,I got gift card visa i cant use it
138990,1.0,NEGATIVE,NEGATIVE,anger,True,One Star,Terrific presentation!!
141483,1.0,NEGATIVE,NEGATIVE,sadness,True,Unhappy,I received the Gift Card on 12/27 afternoon.  My relative had left my home back to New York on 12/26 morning with no X'mas gift from me. :(
141711,1.0,NEGATIVE,NEGATIVE,anger,True,Doesn't appear to work at the pump.,The odd outer paper wrap (in which there appears no satisfactory way of opening) boasts that this card can be used wherever Visa is accepted.  I found this not so in my experience.  The gas pump card 
141991,1.0,NEGATIVE,NEGATIVE,fear,True,I am lucky that I looked at the reviews because ...,I am lucky that I looked at the reviews because I thought it was 100 for 100.
142260,1.0,NEGATIVE,NEGATIVE,anger,True,SCAM,Horrible! You took $100. out of my account but my son never received the ecard. I  ended up going to the store and purchasing another $100. gift card.
143516,1.0,NEGATIVE,NEGATIVE,anger,True,"Refusal of Boone,NC Regal theater to redeem $50 in Fandango  gift tickets",Could not find any procedure online  to  handle exchange as theater said to do.Money paid in good .Seems improper to me.
145979,1.0,NEGATIVE,NEGATIVE,anger,True,Total Screwup,"Ordinarily, Amazon does great with these.  We give out these cards as Christmas gifts. But this year they sent us the cards which were supposed to have the appropriate balance. Unfortunately the cards"
151913,1.0,NEGATIVE,NEGATIVE,anger,True,Impossible to use,Unable to convert to Top Golf as stated.  Website never works and no customer service to return calls.  DO NOT BUY THIS GIFTCARD
151920,1.0,NEGATIVE,NEGATIVE,anger,True,Make sure you read all the fine prints. Don’t trust customer representative.,"I saw the promotion about loading $100 get $10 gift. I called in to verify if I can load multiple transactions to make up total $100. Been told multiple translation is acceptable. After done it, reali"
6861,3.0,NEUTRAL,NEGATIVE,anger,False,Would never do again,"They don;t tell you how to use it for your own purchases.  I thought I was using it until I got a statement from my In Store"" credit card.  Still don't know how to use up the dollars."
12089,3.0,NEUTRAL,NEGATIVE,anger,False,did not arrive when scheduled,"In fact, I'm still waiting for it.  Supposed to be here yesterday.  Tracking says it's (literally) 20 min from my house early in the day but couldn't quite make it here.  I hope it gets here before my"
13862,3.0,NEUTRAL,POSITIVE,joy,False,who cannot love Starbucks.,"A gift, and you forgot the gift card."
14813,3.0,NEUTRAL,POSITIVE,joy,False,Cute Presentation,"Cute and feminine, recipient loved the gift."
21535,3.0,NEUTRAL,NEGATIVE,sadness,False,"Changing the price to what I wanted, disappointed","I keep trying to order a $30.00 card and ordered a$30.00 card in the OTHER spot and when saving it , it always came up as $25.00. Did not like that I could not order what I wanted."
34680,3.0,NEUTRAL,NEGATIVE,sadness,False,Bad Experience,"Some of the bad experience was my fault for challenging the charge, but no one told me they were not unlocking the amount on the cards when I paid the bill.  It was an embaressment when my grandchildr"
34953,3.0,NEUTRAL,NEUTRAL,anticipation,True,the gift cards came nicely packaged.,"I was supposed to get a $5 credit for each gift card purchased (2 X $5) but I have not seen the credit. Not sure if this is an Amazon problem or the card used. Otherwise, the gift cards came nicely pa"
36779,3.0,NEUTRAL,NEUTRAL,trust,True,Three Stars,As usual
46294,3.0,NEUTRAL,NEGATIVE,sadness,False,Nothing special,These are made of a thin cardboard material and not quite as nice as we had hoped. We ended up stocking up on clearance sales of the nicer boxes for about half the price.
46713,3.0,NEUTRAL,POSITIVE,trust,False,works but could be simpler,works but could be simpler to use
47258,3.0,NEUTRAL,NEUTRAL,fear,True,It should be Clearer and Easier to Give money to Amazon,"I wanted to apply 2 gift cards that I received in the mail to reload my gift card balance.  I found the web site unclear, and the correct way to do this difficult to find (I don't do this frequently)."
48687,3.0,NEUTRAL,NEUTRAL,surprise,True,Three Stars,Didn't realize there wasn't a store in the area
50542,3.0,NEUTRAL,NEGATIVE,sadness,False,Needs more,The recipient did know who the gift card was from.
53097,3.0,NEUTRAL,POSITIVE,trust,False,Card,Work
57971,3.0,NEUTRAL,NEGATIVE,fear,False,The tab covering the barcode was missing,The tab covering the barcode was missing. Does this mean the card has been compromised?<br />The package states a tab should be covering the barcode upon arrival.  I inked parts of the barcode on the 
58022,3.0,NEUTRAL,NEGATIVE,anger,False,Don't trust the shipping,"Bought this as a Christmas gift for my son's teacher and it took almost a full week to arrive, too late to give it to her. I was willing to pay extra for 1-day shipping to make sure it arrived quickly"
58514,3.0,NEUTRAL,NEGATIVE,disgust,False,It's a gift card,And it's not free
60465,3.0,NEUTRAL,NEGATIVE,anger,False,Hold out until pandemic in the past to eat here.,Carry out pathetic! Taking tremendous advantage of customers during pandemic! Prior inside dining gave much larger portions and better quality food!
67519,3.0,NEUTRAL,NEGATIVE,sadness,False,Card did not work....very upset,I bought this card for $50 used it on a boat cup holder! Thought it accepted it! When I got  item it was charged to my credit card! So I threw the card away! Is there any way that the card can be repl
67604,3.0,NEUTRAL,NEUTRAL,trust,True,giftcard,accidently ordered but it was reimbursed
69834,3.0,NEUTRAL,NEGATIVE,fear,False,Do we really get a 2% back???,"It claims you get a percentage back but I've never seen it.  Not saying I didn't, just saying I can't see it."
76561,3.0,NEUTRAL,POSITIVE,joy,False,Nice,Nice
78253,3.0,NEUTRAL,NEGATIVE,sadness,False,Arrived quickly (the next day) but I gave it 3 ...,Arrived quickly (the next day) but I gave it 3 stars because the card was not plastic and it was bent. Looked as if it wasn't new. The Kraft paper was also slightly bent. It's cute but looks as if som
79199,3.0,NEUTRAL,NEGATIVE,anger,False,The envelope is ripped,The envelope is ripped. This is a supposed to be a gift...
81064,3.0,NEUTRAL,NEGATIVE,anger,False,Too much for purchase,Too much for purchase
81132,3.0,NEUTRAL,NEGATIVE,anger,False,Three Stars,Not obvious where to check the balance after reload.
84207,3.0,NEUTRAL,POSITIVE,joy,False,Fairly Nice,"It is nice to buy a gift card for a present, but it would be nice if the envelopes they seal the cards in did not say Amazon right on them... kind of gives what is inside away."
85151,3.0,NEUTRAL,NEGATIVE,anger,False,No where to write the Gift Card Value,"This looks beautiful. I have no idea if the value is correct or not, but my initial issue is that I am going to have to verbally tell the recipients what the value of the cards are because there is no"
