row,rating,title,text,true_label,pred_label,correct,error
1,4.0,Great gift,When you don’t know what to get,POSITIVE,POSITIVE,True,
2,5.0,Got it when it said,Nice delivery and fast. Hope the mom-to-be has no problems with it🤰 🙅💆🙎🙇.,POSITIVE,POSITIVE,True,
3,1.0,not happy my 2% credit didn't automatically apply,"had to call customer services, very very annoying",NEGATIVE,NEGATIVE,True,
4,5.0,Amazon Gift Cards Did All The Work,No need to guess what anyone wants. Everyone shops at Amazon and you will get it right every time by letting loved ones purchase exactly what they want or need. I was off the shopping hook at the push,POSITIVE,POSITIVE,True,
5,5.0,Helpful,Great,POSITIVE,POSITIVE,True,
6,5.0,Great,Pick a game,POSITIVE,POSITIVE,True,
7,5.0,Five Stars,"Fast and easy, thanks",POSITIVE,POSITIVE,True,
8,5.0,Staff loved them,Great gift everybody loves Amazon,POSITIVE,POSITIVE,True,
9,5.0,An easy way to buy tasty donuts,I bought this the day after Thanksgiving. It arrived in a few days and worked at my local Krispy Kreme. An easy gift for the donut lover. An easy way to get tasty donuts!,POSITIVE,POSITIVE,True,
10,5.0,Beautiful case for your gift card,Awesome case to put the gift card in.  Don't even  have to wrap it.,POSITIVE,POSITIVE,True,
11,5.0,Gift card reviews are weird unless they go wrong,"We bought this for my mom, she used it, no problem.<br /><br />We've had an issue with a recent kind of multiple restaurant card where the restaurants weren't all part of the same ownership group you ",POSITIVE,POSITIVE,True,
12,5.0,Perfect way to use odd balances on prepaid cards,"I often use Amazon's Gift Card Balance Reload to finish the remaining balances on any prepaid debit cards I have. Those cards come from many sources these days, such as rebates, promotional offers, an",POSITIVE,POSITIVE,True,
13,4.0,It reloaded,It reloaded,POSITIVE,POSITIVE,True,
14,5.0,Just like getting free money!,I will take a $50 gift card for $40 any day!!! Basically $10 for free. Love it.,POSITIVE,POSITIVE,True,
15,5.0,"Beautiful high-quality packaging, perfect gift for grads!",It's an Amazon gift card in a high-quality gift box that looks like a graduation cap. It makes an excellent gift!,POSITIVE,POSITIVE,True,
16,5.0,Five Stars,Awsome,POSITIVE,POSITIVE,True,
17,5.0,Love it!,This is great! I hope Amazon does this every year. I would definitely collect one every year,POSITIVE,POSITIVE,True,
18,5.0,A go to gift card.,Everyone loves Amazon. An Amazon gift card fits any ocasion and celebration.,POSITIVE,POSITIVE,True,
19,5.0,It works and I got some free cash out of it,It worked fine!,POSITIVE,POSITIVE,True,
20,5.0,Five Stars,"What can one say, they are a gift card and it works.",POSITIVE,POSITIVE,True,
21,4.0,Easy,Easy,POSITIVE,POSITIVE,True,
22,5.0,Pretty much perfct,"It's a gift card. It's worth what I paid for it. It has no activation fees or expiration date and it doesn't lose its value if not used. Pretty much perfct, as far as gift cards go.",POSITIVE,POSITIVE,True,
23,5.0,Gifted,It’s a gift card,POSITIVE,POSITIVE,True,
24,5.0,Five Stars,So far I am a fan of Amazon,POSITIVE,POSITIVE,True,
25,5.0,Amazing Deal,I got this card as a new customer so it was a great deal.  I put $100 on the card and got $125 to spend!,POSITIVE,POSITIVE,True,
26,5.0,Five Stars,Given as a Christmas present,POSITIVE,POSITIVE,True,
27,5.0,Quick Service Happy with everything.,Everything was quick and easy to order.,POSITIVE,POSITIVE,True,
