row,rating,true_label,title,text,llm_label,llm_emotion,nrc_emotion,nrc_scores,agree,llm_label_correct
1,4.0,POSITIVE,Great gift,When you don’t know what to get,POSITIVE,joy,anticipation,"{""anticipation"": 1, ""joy"": 1, ""surprise"": 1, ""trust"": 1}",False,True
2,5.0,POSITIVE,Got it when it said,Nice delivery and fast. Hope the mom-to-be has no problems with it🤰 🙅💆🙎🙇.,POSITIVE,joy,anticipation,"{""anticipation"": 2, ""joy"": 1, ""surprise"": 1, ""trust"": 1}",False,True
3,1.0,NEGATIVE,not happy my 2% credit didn't automatically apply,"had to call customer services, very very annoying",NEGATIVE,anger,trust,"{""anticipation"": 1, ""joy"": 1, ""trust"": 2, ""anger"": 1}",False,True
4,5.0,POSITIVE,Amazon Gift Cards Did All The Work,No need to guess what anyone wants. Everyone shops at Amazon and you will get it right every time by letting loved ones purchase exactly what they want or need. I was off the shopping hook at the push,POSITIVE,joy,anticipation,"{""anticipation"": 3, ""joy"": 2, ""surprise"": 3, ""trust"": 1}",False,True
5,5.0,POSITIVE,Helpful,Great,POSITIVE,joy,joy,"{""joy"": 1, ""trust"": 1}",True,True
6,5.0,POSITIVE,Great,Pick a game,POSITIVE,joy,,{},False,True
7,5.0,POSITIVE,Five Stars,"Fast and easy, thanks",POSITIVE,joy,,{},False,True
8,5.0,POSITIVE,Staff loved them,Great gift everybody loves Amazon,POSITIVE,joy,anticipation,"{""anticipation"": 1, ""joy"": 1, ""surprise"": 1}",False,True
9,5.0,POSITIVE,An easy way to buy tasty donuts,I bought this the day after Thanksgiving. It arrived in a few days and worked at my local Krispy Kreme. An easy gift for the donut lover. An easy way to get tasty donuts!,POSITIVE,joy,joy,"{""joy"": 3, ""anticipation"": 2, ""surprise"": 1, ""trust"": 1}",True,True
10,5.0,POSITIVE,Beautiful case for your gift card,Awesome case to put the gift card in.  Don't even  have to wrap it.,POSITIVE,joy,joy,"{""joy"": 3, ""fear"": 2, ""sadness"": 2, ""anticipation"": 2, ""surprise"": 2}",True,True
